Subject,Stim,Condition,StimSoundIn1.Filename,SubTrialList.Cycle,SubTrialList.Sample,SubTrialList,phonetic_cons,semantic_trans,frequency,correctRT,accuracy,log_F.base10.,acc_rate,PhonN
1,腐,phsl,behavioral_naming-1-1Stim-41.wav,1,1,1,consistent,opaque,168,574,0,2.225309282,0.075,3
1,映,plsl,behavioral_naming-1-1Stim-42.wav,1,2,2,inconsistent,opaque,845,580,0,2.926856709,0.075,8
1,湖,phsh,behavioral_naming-1-1Stim-43.wav,1,3,3,consistent,transparent,7481,510,0,3.873959655,0.075,8
1,腦,phsh,behavioral_naming-1-1Stim-44.wav,1,4,4,consistent,transparent,7703,439,0,3.886659898,0.075,3
1,嫁,phsh,behavioral_naming-1-1Stim-45.wav,1,5,5,consistent,transparent,1726,574,0,3.237040791,0.075,3
1,殲,plsh,behavioral_naming-1-1Stim-46.wav,1,6,6,inconsistent,transparent,249,945,0,2.396199347,0.075,5
1,棺,phsl,behavioral_naming-1-1Stim-47.wav,1,7,7,consistent,opaque,674,831,0,2.828659897,0.075,8
1,掠,plsl,behavioral_naming-1-1Stim-48.wav,1,8,8,inconsistent,opaque,302,941,0,2.480006943,0.075,6
1,晏,plsh,behavioral_naming-1-1Stim-49.wav,1,9,9,inconsistent,transparent,531,831,0,2.725094521,0.075,8
1,淹,phsh,behavioral_naming-1-1Stim-50.wav,1,10,10,consistent,transparent,3045,600,0,3.483587297,0.075,9
1,捷,phsl,behavioral_naming-1-1Stim-51.wav,1,11,11,consistent,opaque,5030,602,0,3.701567985,0.075,3
1,熬,phsh,behavioral_naming-1-1Stim-52.wav,1,12,12,consistent,transparent,614,651,0,2.788168371,0.075,10
1,殘,plsh,behavioral_naming-1-1Stim-53.wav,1,13,13,inconsistent,transparent,1398,622,0,3.145507171,0.075,10
1,潭,phsh,behavioral_naming-1-1Stim-54.wav,1,14,14,consistent,transparent,532,582,0,2.725911632,0.075,4
1,梗,plsl,behavioral_naming-1-1Stim-55.wav,1,15,15,inconsistent,opaque,103,591,0,2.012837225,0.075,6
1,符,phsl,behavioral_naming-1-1Stim-56.wav,1,16,16,consistent,opaque,3583,510,0,3.554246808,0.075,4
1,慢,phsh,behavioral_naming-1-1Stim-57.wav,1,17,17,consistent,transparent,13189,487,0,4.120211868,0.075,8
1,覓,plsh,behavioral_naming-1-1Stim-58.wav,1,18,18,inconsistent,transparent,2267,548,0,3.35545152,0.075,9
1,痣,phsh,behavioral_naming-1-1Stim-59.wav,1,19,19,consistent,transparent,184,520,0,2.264817823,0.075,3
1,幅,phsh,behavioral_naming-1-1Stim-60.wav,1,20,20,consistent,transparent,25457,NaN,1,4.405807223,0.075,9
1,灘,phsh,behavioral_naming-1-1Stim-61.wav,1,21,21,consistent,transparent,2952,599,0,3.470116353,0.075,3
1,桿,plsl,behavioral_naming-1-1Stim-62.wav,1,22,22,inconsistent,opaque,50450,765,0,4.702861171,0.075,6
1,噹,phsh,behavioral_naming-1-1Stim-63.wav,1,23,23,consistent,transparent,144,803,0,2.158362492,0.075,5
1,酷,plsh,behavioral_naming-1-1Stim-64.wav,1,24,24,inconsistent,transparent,2400,602,0,3.380211242,0.075,9
1,鐳,phsl,behavioral_naming-1-1Stim-65.wav,1,25,25,consistent,opaque,147,NaN,1,2.167317335,0.075,3
1,辭,plsh,behavioral_naming-1-1Stim-66.wav,1,26,26,inconsistent,transparent,4095,699,0,3.612253906,0.075,5
1,溜,phsh,behavioral_naming-1-1Stim-67.wav,1,27,27,consistent,transparent,776,581,0,2.889861721,0.075,5
1,煎,phsh,behavioral_naming-1-1Stim-68.wav,1,28,28,consistent,transparent,308,867,0,2.488550717,0.075,4
1,誌,phsl,behavioral_naming-1-1Stim-69.wav,1,29,29,consistent,opaque,404,629,0,2.606381365,0.075,3
1,顫,plsh,behavioral_naming-1-1Stim-70.wav,1,30,30,inconsistent,transparent,118,710,0,2.071882007,0.075,7
1,饌,plsl,behavioral_naming-1-1Stim-71.wav,1,31,31,inconsistent,opaque,20,737,0,1.301029996,0.075,3
1,拒,phsl,behavioral_naming-1-1Stim-72.wav,1,32,32,consistent,opaque,11072,NaN,1,4.044226077,0.075,8
1,尊,plsh,behavioral_naming-1-1Stim-73.wav,1,33,33,inconsistent,transparent,5764,592,0,3.760723972,0.075,5
1,摺,phsl,behavioral_naming-1-1Stim-74.wav,1,34,34,consistent,opaque,143,605,0,2.155336037,0.075,3
1,攤,phsh,behavioral_naming-1-1Stim-75.wav,1,35,35,consistent,transparent,3478,1010,0,3.541329578,0.075,3
1,醒,phsh,behavioral_naming-1-1Stim-76.wav,1,36,36,consistent,transparent,1483,552,0,3.171141151,0.075,4
1,誓,plsl,behavioral_naming-1-1Stim-77.wav,1,37,37,inconsistent,opaque,1049,544,0,3.020775488,0.075,6
1,淨,plsl,behavioral_naming-1-1Stim-78.wav,1,38,38,inconsistent,opaque,9021,655,0,3.955254683,0.075,10
1,爺,phsh,behavioral_naming-1-1Stim-79.wav,1,39,39,consistent,transparent,97,672,0,1.986771734,0.075,3
1,錦,plsl,behavioral_naming-1-1Stim-80.wav,1,40,40,inconsistent,opaque,1059,545,0,3.02489596,0.075,4
1,廟,plsh,behavioral_naming-1-1Stim-81.wav,2,41,1,inconsistent,transparent,3207,627,0,3.50609896,0.075,3
1,淘,phsl,behavioral_naming-1-1Stim-82.wav,2,42,2,consistent,opaque,200,477,0,2.301029996,0.075,5
1,館,phsl,behavioral_naming-1-1Stim-83.wav,2,43,3,consistent,opaque,7111,569,0,3.851930679,0.075,8
1,批,phsl,behavioral_naming-1-1Stim-84.wav,2,44,4,consistent,opaque,239027,539,0,5.378446961,0.075,10
1,釋,plsl,behavioral_naming-1-1Stim-85.wav,2,45,5,inconsistent,opaque,1684,465,0,3.226342087,0.075,7
1,餵,phsh,behavioral_naming-1-1Stim-86.wav,2,46,6,consistent,transparent,1908,504,0,3.28057837,0.075,5
1,絹,phsh,behavioral_naming-1-1Stim-87.wav,2,47,7,consistent,transparent,139,603,0,2.1430148,0.075,6
1,倫,phsl,behavioral_naming-1-1Stim-88.wav,2,48,8,consistent,opaque,2581,546,0,3.411788005,0.075,8
1,楠,phsl,behavioral_naming-1-1Stim-89.wav,2,49,9,consistent,opaque,634,690,0,2.802089258,0.075,3
1,詩,plsh,behavioral_naming-1-1Stim-90.wav,2,50,10,inconsistent,transparent,6937,455,0,3.841171694,0.075,10
1,磷,phsl,behavioral_naming-1-1Stim-91.wav,2,51,11,consistent,opaque,1988,641,0,3.29841638,0.075,8
1,狐,plsh,behavioral_naming-1-1Stim-92.wav,2,52,12,inconsistent,transparent,578,850,0,2.761927838,0.075,5
1,遺,plsl,behavioral_naming-1-1Stim-93.wav,2,53,13,inconsistent,opaque,1736,650,0,3.239549721,0.075,5
