character	SemRadical_Id_Cld	sem_trans	semN
的	53	0.124523808	7
是	31	0.082936034	44
在	10	0.070640661	67
了	150	0.124281826	3
有	32	0.104149626	9
個	124	0.103379738	134
我	25	0.088335775	12
不	145	0.142861069	12
這	126	0.091256417	70
就	16	0.041388236	2
他	124	0.096413611	134
也	149	0.094773695	7
人	124	0.087230085	134
都	129	0.081246413	46
與	189	0.082265332	6
說	80	0.10688699	80
而	65	0.013775046	3
中	146	0.03299773	2
為	39	0.067642819	64
要	195	0.083348994	4
對	15	0.084777426	11
你	124	0.098562095	134
和	9	0.081330741	224
之	148	0.094921742	8
以	124	0.091736574	134
會	168	0.168511562	9
來	124	0.096931313	134
及	7	0.095314948	9
很	24	0.079116158	21
將	15	0.099401316	11
那	129	0.067612235	46
種	59	0.061936328	32
大	161	0.068197383	18
著	191	0.054062909	88
能	122	0.066057655	75
到	131	0.067286315	45
她	13	0.094412905	59
年	21	0.063055781	5
並	145	0.138560914	12
但	124	0.084325338	134
還	126	0.078320237	70
時	31	0.074475022	44
所	26	0.076749975	6
好	13	0.071296073	59
最	168	0.163969699	9
等	185	0.0571241	54
又	7	0.081072878	9
各	9	0.066435814	224
地	10	0.057171151	67
去	160	0.004520501	2
可	9	0.064027829	224
或	25	0.084548768	12
後	24	0.077181854	21
得	24	0.097335998	21
看	55	0.095593773	41
做	124	0.098996337	134
把	127	0.06928758	221
從	24	0.110115078	21
每	169	0.032357874	5
於	123	0.05496523	8
由	51	0.055393027	21
被	140	0.050207472	33
多	12	0.111030277	6
才	127	0.057458113	221
更	168	0.144265923	9
下	145	0.090504296	12
已	165	0.048203148	4
次	34	0.090075411	13
者	187	0.074676086	4
裡	140	0.075989717	33
只	9	0.071123676	224
其	155	0.093329489	11
此	35	0.056824094	10
則	131	0.069991625	45
讓	80	0.093830589	80
再	156	0.037574898	4
卻	134	0.103756341	9
位	124	0.0717259	134
想	133	0.091634442	109
天	161	0.092171489	18
過	126	0.082242839	70
呢	9	0.112123635	224
前	131	0.064675198	45
用	180	0.066117226	4
小	163	0.175053925	4
它	162	0.066837477	42
內	154	0.214133219	4
新	29	0.069697068	7
家	162	0.055778425	42
使	124	0.086301242	134
全	154	0.207732439	4
該	80	0.06302173	80
像	124	0.077517378	134
一	145	0.103084718	12
本	33	0.058127476	136
如	13	0.062241037	59
跟	135	0.074904272	43
啊	9	0.124413289	224
事	150	0.146089553	3
向	9	0.058566845	224
當	51	0.063111668	21
給	128	0.062168432	91
因	9	0.059417344	224
應	133	0.061768927	109
至	70	0.097057241	4
項	103	0.099802259	32
高	224	0.066722335	3
外	12	0.109639333	6
比	170	1	1
沒	125	0.058040983	171
元	153	0.039295658	14
較	88	0.043990997	27
仍	124	0.062791072	134
太	161	0.091483964	18
名	9	0.050892943	224
便	124	0.070625696	134
正	35	0.069379363	10
吃	9	0.095746018	224
無	39	0.051858498	64
未	33	0.052501962	136
心	133	0.060570862	109
曾	168	0.095919342	9
嗎	9	0.110117099	224
們	124	0.058937669	134
先	153	0.056388361	14
些	151	0.076489691	7
間	196	0.054765749	23
另	9	0.059678428	224
即	134	0.080361981	9
歲	35	0.062787758	10
起	86	0.092253673	10
月	32	0.089091159	9
若	191	0.06160016	88
國	9	0.055466908	224
請	80	0.07476048	80
點	117	0.035676398	7
亦	152	0.07327746	8
真	55	0.063654086	41
走	86	0.120015784	10
問	9	0.098051605	224
講	80	0.105346296	80
常	20	0.063003592	21
分	131	0.053341987	45
受	7	0.092529956	9
見	78	0.087892695	9
愛	133	0.084570045	109
整	144	0.061884835	26
話	80	0.076261532	80
作	124	0.071368815	134
歷	35	0.075767757	10
聽	67	0.103095284	16
吧	9	0.105304318	224
且	145	0.123722678	12
場	10	0.065861632	67
呀	9	0.121203003	224
令	124	0.06266205	134
錢	96	0.065776269	79
加	3	0.038766008	20
叫	9	0.106490035	224
找	127	0.096624644	221
您	133	0.057458306	109
條	33	0.064226058	136
帶	20	0.074199145	21
半	5	0.070281222	11
處	192	0.057470571	6
件	124	0.071943066	134
非	198	0.129671055	3
言	80	0.070990978	80
誰	80	0.066434163	80
書	168	0.08819206	9
自	188	0.046757978	2
快	133	0.078566832	109
約	128	0.051128016	91
長	95	1	1
知	57	0.063690809	6
成	25	0.040768219	12
連	126	0.072113472	70
手	127	0.066090514	221
道	126	0.061188527	70
均	10	0.063248841	67
打	127	0.100348643	221
水	125	0.068345144	171
校	33	0.059674439	136
同	9	0.066050925	224
難	97	0.053597039	18
身	87	0.102539403	5
學	14	0.068455651	12
寫	162	0.069212143	42
買	84	0.104245593	45
經	128	0.052961132	91
依	124	0.072189288	134
啦	9	0.117282133	224
妳	13	0.094773395	59
出	220	0.051076808	5
嗯	9	0.10762078	224
路	135	0.056295157	43
日	31	0.065340775	44
頭	103	0.064370789	32
美	63	0.072035797	9
句	9	0.065203006	224
面	199	1	1
邊	126	0.053190325	70
段	45	0.050176357	8
極	33	0.055685825	136
老	187	0.078535568	4
隻	97	0.108564557	18
課	80	0.075077688	80
片	41	0.10443776	3
類	103	0.096716389	32
住	124	0.059429797	134
具	155	0.063788179	11
需	197	0.041560136	18
往	24	0.070209133	21
開	196	0.077666712	23
口	9	0.064360717	224
雖	97	0.055628521	18
台	9	0.054254249	224
花	191	0.056205205	88
坐	10	0.063560914	67
